page-url,page-tags,tag-color
bbc,UK State-owned Media,#c8102e
bbcnews,UK State-owned Media,#c8102e
BBCPolitics,UK State-owned Media,#c8102e
bbcnewsafaanoromoo,UK State-owned Media,#c8102e
BBCGlobalFB,UK State-owned Media,#c8102e
bbcworldservice,UK State-owned Media,#c8102e
BBCnewsAmharic,UK State-owned Media,#c8102e
bbcnewsafrique,UK State-owned Media,#c8102e
BBCNewsHausa,UK State-owned Media,#c8102e
BBCnewsIgbo,UK State-owned Media,#c8102e
BBCnewsgahuza,UK State-owned Media,#c8102e
bbcnewspidgin,UK State-owned Media,#c8102e
bbcnewssomali,UK State-owned Media,#c8102e
BBCnewsSwahili,UK State-owned Media,#c8102e
bbcnewstigrinya,UK State-owned Media,#c8102e
bbcnewsyoruba,UK State-owned Media,#c8102e
bbcnewskyrgyz,UK State-owned Media,#c8102e
bbcnewsuzbek,UK State-owned Media,#c8102e
BBCnewsBurmese,UK State-owned Media,#c8102e
BBCChinese,UK State-owned Media,#c8102e
bbcnewstrad,UK State-owned Media,#c8102e
BBCNewsIndonesia,UK State-owned Media,#c8102e
bbcnewsjapan,UK State-owned Media,#c8102e
BBCnewsKorean,UK State-owned Media,#c8102e
BBCnewsThai,UK State-owned Media,#c8102e
BBCnewsVietnamese,UK State-owned Media,#c8102e
BBCBengaliService,UK State-owned Media,#c8102e
BBCnewsGujarati,UK State-owned Media,#c8102e
BBCnewsHindi,UK State-owned Media,#c8102e
BBCnewsMarathi,UK State-owned Media,#c8102e
BBCnewsNepali,UK State-owned Media,#c8102e
bbcnewspashto,UK State-owned Media,#c8102e
BBCnewsPunjabi,UK State-owned Media,#c8102e
BBCnewsSinhala,UK State-owned Media,#c8102e
BBCnewsTamil,UK State-owned Media,#c8102e
BBCnewsTelugu,UK State-owned Media,#c8102e
bbcurdu,UK State-owned Media,#c8102e
BBCnewsAzeri,UK State-owned Media,#c8102e
BBCNaidheachdan,UK State-owned Media,#c8102e
61574551247598,UK State-owned Media,#c8102e
bbcnewsrussian,UK State-owned Media,#c8102e
BBCNewsnasrpskom,UK State-owned Media,#c8102e
bbcnewsturkceservisi,UK State-owned Media,#c8102e
BBCnewsUkrainian,UK State-owned Media,#c8102e
bbccymrufyw,UK State-owned Media,#c8102e
bbcnewsbrasil,UK State-owned Media,#c8102e
BBCnewsMundo,UK State-owned Media,#c8102e
BBCnewsArabic,UK State-owned Media,#c8102e
bbcpersian,UK State-owned Media,#c8102e
bbccumbria,UK State-owned Media,#c8102e
BBCLancashire,UK State-owned Media,#c8102e
bbcmerseyside,UK State-owned Media,#c8102e
bbcmanchester,UK State-owned Media,#c8102e
bbctees,UK State-owned Media,#c8102e
bbcbradford,UK State-owned Media,#c8102e
BBCEastYorkshire,UK State-owned Media,#c8102e
bbchumberside,UK State-owned Media,#c8102e
bbclincolnshire,UK State-owned Media,#c8102e
BBCYorkshire,UK State-owned Media,#c8102e
BBCRadioYork,UK State-owned Media,#c8102e
BirminghamBBC,UK State-owned Media,#c8102e
BBCBlackCountry,UK State-owned Media,#c8102e
bbccwr,UK State-owned Media,#c8102e
bbcherefordandworcester,UK State-owned Media,#c8102e
bbcshropshire,UK State-owned Media,#c8102e
BBCStokeandStaffordshire,UK State-owned Media,#c8102e
BBCBlackCountry,UK State-owned Media,#c8102e
BBCWolverhampton,UK State-owned Media,#c8102e
DerbyBBC,UK State-owned Media,#c8102e
LeicesterBBC,UK State-owned Media,#c8102e
BBCNorthamptonshire,UK State-owned Media,#c8102e
NottinghamBBC,UK State-owned Media,#c8102e
BristolBBC,UK State-owned Media,#c8102e
BBCCornwall,UK State-owned Media,#c8102e
bbcgloucestershire,UK State-owned Media,#c8102e
bbcsomerset,UK State-owned Media,#c8102e
WiltshireBBC,UK State-owned Media,#c8102e
BBCBedsHertsBucks,UK State-owned Media,#c8102e
bbccambridgeshire,UK State-owned Media,#c8102e
BBCEssex,UK State-owned Media,#c8102e
BBCNorfolk,UK State-owned Media,#c8102e
bbcsuffolk,UK State-owned Media,#c8102e
BBCBerkshire,UK State-owned Media,#c8102e
BBCDorset,UK State-owned Media,#c8102e
HampshireBBC,UK State-owned Media,#c8102e
bbcoxford,UK State-owned Media,#c8102e
BBCinKent,UK State-owned Media,#c8102e
BBCLondon,UK State-owned Media,#c8102e
BBCSurrey,UK State-owned Media,#c8102e
BBCSussex,UK State-owned Media,#c8102e
BBC.News.NI,UK State-owned Media,#c8102e
bbcscotlandnews,UK State-owned Media,#c8102e
radioorkney,UK State-owned Media,#c8102e
bbcradioshetland,UK State-owned Media,#c8102e
BBCWalesNews,UK State-owned Media,#c8102e
bbcisleofman,UK State-owned Media,#c8102e
bbcguernsey,UK State-owned Media,#c8102e
bbcjersey,UK State-owned Media,#c8102e
1.00E+14,Israeli State Media,#0038b8
MakanAkhbar,Israeli State Media,#0038b8
abc,Australia State-owned Media,#00843d
abcnews.au,Australia State-owned Media,#00843d
radionational,Australia State-owned Media,#00843d
ABCiview,Australia State-owned Media,#00843d
ABClisten,Australia State-owned Media,#00843d
ABCIndigenous,Australia State-owned Media,#00843d
abcinsydney,Australia State-owned Media,#00843d
ABCBrokenHill,Australia State-owned Media,#00843d
abccentralcoast,Australia State-owned Media,#00843d
